origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2025-11-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2503.2,3439.98,4.404,2026-09-08 08:38:45+00:00
2025-11-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2249.62,2902.25,3.562,2026-09-08 08:38:45+00:00
2025-11-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4329.82,5833.19,7.272,2026-09-08 08:38:45+00:00
2025-11-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1086.38,1241.01,1.709,2026-09-08 08:38:45+00:00
2025-11-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2492.73,2772.35,3.704,2026-09-08 08:38:45+00:00
2025-11-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3246.75,4315.45,5.264,2026-09-08 08:38:45+00:00
2025-11-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4851.81,5164.87,8.571,2026-09-08 08:38:45+00:00
2025-11-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1878.54,2154.44,3.531,2026-09-08 08:38:45+00:00
2025-11-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2104.08,2304.36,3.438,2026-09-08 08:38:45+00:00
2025-12-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1962.22,3278.08,3.349,2026-09-08 08:38:45+00:00
2025-12-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1402.56,1637.27,2.139,2026-09-08 08:38:45+00:00
2025-12-03 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1716.43,1910.14,2.805,2026-09-08 08:38:45+00:00
2025-12-04 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2657.46,2767.33,4.18,2026-09-08 08:38:45+00:00
2025-12-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,891.99,1231.18,1.58,2026-09-08 08:38:45+00:00
2025-12-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,996.89,1190.18,2.08,2026-09-08 08:38:45+00:00
2025-12-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1114.32,1449.09,1.873,2026-09-08 08:38:45+00:00
2025-12-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3875.59,4080.67,6.263,2026-09-08 08:38:45+00:00
2025-12-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1616.75,1743.84,2.642,2026-09-08 08:38:45+00:00
2025-12-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,715.27,1017.46,1.117,2026-09-08 08:38:45+00:00
2025-12-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2600.42,2712.08,4.2,2026-09-08 08:38:45+00:00
2025-12-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1033.01,1151.3,1.915,2026-09-08 08:38:45+00:00
2025-12-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2516.68,3078.4,4.563,2026-09-08 08:38:45+00:00
2025-12-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1220.63,1501.7,1.886,2026-09-08 08:38:45+00:00
2025-12-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,893.19,1030.25,1.453,2026-09-08 08:38:45+00:00
2025-12-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1535.16,1869.91,2.36,2026-09-08 08:38:45+00:00
2025-12-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,960.28,1248.36,1.576,2026-09-08 08:38:45+00:00
2025-12-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1274.65,1481.31,2.222,2026-09-08 08:38:45+00:00
2025-12-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3027.3,3290.07,5.786,2026-09-08 08:38:45+00:00
2025-12-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1327.56,1685.22,2.609,2026-09-08 08:38:45+00:00
2025-12-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,5422.84,5951.42,9.02,2026-09-08 08:38:45+00:00
2025-12-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1920.36,2730.14,3.509,2026-09-08 08:38:45+00:00
2025-12-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,6700.56,7629.58,11.863,2026-09-08 08:38:45+00:00
2025-12-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2985.3,4136.59,5.858,2026-09-08 08:38:45+00:00
2025-12-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,907.86,1144.18,1.856,2026-09-08 08:38:45+00:00
2025-12-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3949.32,4330.96,7.765,2026-09-08 08:38:45+00:00
2025-12-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1176.8,1451.24,2.296,2026-09-08 08:38:45+00:00
2025-12-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2039.72,2774.91,3.579,2026-09-08 08:38:45+00:00
2025-12-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1010.04,1233.72,1.778,2026-09-08 08:38:45+00:00
2025-12-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1114.44,1535.78,2.131,2026-09-08 08:38:45+00:00
2025-12-31 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3054.01,3415.57,6.344,2026-09-08 08:38:45+00:00
2026-01-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,6906.68,8027.98,12.727,2026-09-08 08:38:45+00:00
2026-01-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1773.34,2193.96,3.232,2026-09-08 08:38:45+00:00
2026-01-03 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1411.07,1885.46,2.757,2026-09-08 08:38:45+00:00
