model,pr_auc,roc_auc,brier,base_rate,pr_auc_lift,n,positives,target
HistGradientBoosting,0.5981770141909382,0.8209935897435897,0.13850823298437828,0.19597989949748743,3.0522365595896592,199,39,high_demand
Calendar logistic,0.24784582351892584,0.6602564102564102,0.2423866759246133,0.19597989949748743,1.2646492020581088,199,39,high_demand
Majority class,0.14773976699782157,0.3577724358974359,0.18435828965686843,0.19597989949748743,0.753851631604269,199,39,high_demand
HistGradientBoosting,0.7186891707858748,0.9061728395061728,0.049109830579285516,0.09090909090909091,7.9055808786446224,198,18,anomaly
Calendar logistic,0.7155630077397812,0.9280864197530865,0.1139596165883679,0.09090909090909091,7.871193085137593,198,18,anomaly
Majority class,0.08474172138209547,0.47453703703703703,0.08376993132881022,0.09090909090909091,0.9321589352030502,198,18,anomaly
